Database,Schema,Table,Column,Tag,Data Type,Column Length,Nullable,Rows in Table,Notes,How to Mask,How it was Masked,Comments
DBP01,THE,AAC_ALLOCATION_AMOUNT,AAC_ALLOCATION_AMOUNT_ID,PUBLIC,NUMBER,10,N,5891,,,,
DBP01,THE,AAC_ALLOCATION_AMOUNT,AAC_ADJUSTMENT_REASON_CODE,PUBLIC,VARCHAR2,4,N,,,,,
DBP01,THE,AAC_ALLOCATION_AMOUNT,AAC_ALLOCATION_PERIOD_ID,PUBLIC,NUMBER,10,N,,,,,
DBP01,THE,AAC_ALLOCATION_AMOUNT,ALLOWABLE_AREA_TYPE_CODE,PUBLIC,VARCHAR2,3,N,,,,,
DBP01,THE,AAC_ALLOCATION_AMOUNT,ALLOWABLE_CUT_TYPE_CODE,PUBLIC,VARCHAR2,3,N,,,,,
DBP01,THE,AAC_ALLOCATION_AMOUNT,ALLOCATION_AMOUNT,CONFIDENTIAL,NUMBER,"14,4",N,,,,,
DBP01,THE,AAC_ALLOCATION_AMOUNT,ADJUSTMENT_COMMENT,CONFIDENTIAL,VARCHAR2,4000,Y,,,Set to NULL or Scramble,THE@masking.nrs.bcgov> alter trigger the.aac_b_I_U_d disable;,
DBP01,THE,AAC_ALLOCATION_AMOUNT,REVISION_COUNT,PUBLIC,NUMBER,5,N,,,,Trigger altered.,
DBP01,THE,AAC_ALLOCATION_AMOUNT,ENTRY_USERID,PROTECTED_A,VARCHAR2,30,N,,,Set to D or Scramble,"THE@masking.nrs.bcgov> update aac_allocation_amount set adjustment_comment = null, entry_userid = 'D', update_userid = 'D';",
DBP01,THE,AAC_ALLOCATION_AMOUNT,ENTRY_TIMESTAMP,PUBLIC,DATE,7,N,,,,5919 rows updated.,
DBP01,THE,AAC_ALLOCATION_AMOUNT,UPDATE_USERID,PROTECTED_A,VARCHAR2,30,N,,,Set to D or Scramble,THE@masking.nrs.bcgov> commit;,
DBP01,THE,AAC_ALLOCATION_AMOUNT,UPDATE_TIMESTAMP,PUBLIC,DATE,7,N,,,,Commit complete.,
DBP01,THE,AAC_ALLOCATION_PERIOD,AAC_ALLOCATION_PERIOD_ID,PUBLIC,NUMBER,10,N,4388,,,THE@masking.nrs.bcgov>  alter trigger the.aac_b_I_U_d enable;,
DBP01,THE,AAC_ALLOCATION_PERIOD,FOREST_FILE_ID,PUBLIC,VARCHAR2,10,N,,,,Trigger altered.,
DBP01,THE,AAC_ALLOCATION_PERIOD,EFFECTIVE_DATE,CONFIDENTIAL,DATE,7,N,,,,,
DBP01,THE,AAC_ALLOCATION_PERIOD,HARVEST_UNIT_OF_MEASURE_CODE,PUBLIC,VARCHAR2,3,N,,,,,
DBP01,THE,AAC_ALLOCATION_PERIOD,REVISION_COUNT,PUBLIC,NUMBER,5,N,,,,,
DBP01,THE,AAC_ALLOCATION_PERIOD,ENTRY_USERID,PROTECTED_A,VARCHAR2,30,N,,,Set to D or Scramble,THE@masking.nrs.bcgov> alter trigger the.aap_b_i_u_d disable;,
DBP01,THE,AAC_ALLOCATION_PERIOD,ENTRY_TIMESTAMP,PUBLIC,DATE,7,N,,,,Trigger altered.,
DBP01,THE,AAC_ALLOCATION_PERIOD,UPDATE_USERID,PROTECTED_A,VARCHAR2,30,N,,,Set to D or Scramble,"THE@masking.nrs.bcgov> update aac_allocation_period set entry_userid = 'D', update_userid = 'D';",
DBP01,THE,AAC_ALLOCATION_PERIOD,UPDATE_TIMESTAMP,PUBLIC,DATE,7,N,,,,4406 rows updated.,
DBP01,THE,ASSOCIATED_USE,FOREST_FILE_ID,PUBLIC,VARCHAR2,10,N,105682,,,THE@masking.nrs.bcgov> commit;,
DBP01,THE,ASSOCIATED_USE,FILE_SOURCE_CODE,PUBLIC,VARCHAR2,3,N,,,,Commit complete.,
DBP01,THE,ASSOCIATED_USE,ASSOCIATED_FILE_ID,PUBLIC,VARCHAR2,25,N,,,,THE@masking.nrs.bcgov> alter trigger the.aap_b_i_u_d enable;,
DBP01,THE,ASSOCIATED_USE,FILE_ASSOCIATION_TYPE_CODE,PUBLIC,VARCHAR2,3,Y,,,,Trigger altered.,
DBP01,THE,ASSOCIATED_USE,ASSOCIATION_END_DATE,PUBLIC,DATE,7,Y,,,,,
DBP01,THE,ASSOCIATED_USE,ENTRY_USERID,PROTECTED_A,VARCHAR2,30,N,,,Set to D or Scramble,,
DBP01,THE,ASSOCIATED_USE,ENTRY_TIMESTAMP,PUBLIC,DATE,7,N,,,,THE@masking.nrs.bcgov> update associated_use set,
DBP01,THE,ASSOCIATED_USE,UPDATE_USERID,PROTECTED_A,VARCHAR2,30,N,,,Set to D or Scramble,"  2  ENTRY_USERID = 'D', UPDATE_USERID = 'D';",
DBP01,THE,ASSOCIATED_USE,UPDATE_TIMESTAMP,PUBLIC,DATE,7,N,,,,,
DBP01,THE,ASSOCIATED_USE,REVISION_COUNT,PUBLIC,NUMBER,5,N,,,,105850 rows updated.,
DBP01,THE,BLANKET_ROAD_MARK,FOREST_FILE_ID,PUBLIC,VARCHAR2,10,N,2330,,,,
DBP01,THE,BLANKET_ROAD_MARK,TIMBER_MARK,PUBLIC,VARCHAR2,6,N,,,,,
DBP01,THE,BLANKET_ROAD_MARK,FOREST_DISTRICT,PUBLIC,NUMBER,10,N,,,,,
DBP01,THE,BLANKET_ROAD_MARK,MGMT_UNIT_TYPE_CODE,PUBLIC,VARCHAR2,1,Y,,,,,
DBP01,THE,BLANKET_ROAD_MARK,MGMT_UNIT_ID,PUBLIC,VARCHAR2,4,Y,,,,,
DBP01,THE,BLANKET_ROAD_MARK,BLANKET_ROAD_MARK_STATUS,PUBLIC,VARCHAR2,3,Y,,,,,
DBP01,THE,BLANKET_ROAD_MARK,ISSUE_DATE,CONFIDENTIAL,DATE,7,Y,,,,,
DBP01,THE,BLANKET_ROAD_MARK,EXPIRY_DATE,CONFIDENTIAL,DATE,7,Y,,,,,
DBP01,THE,BLANKET_ROAD_MARK,REVISION_COUNT,PUBLIC,NUMBER,5,N,,,,,
DBP01,THE,BLANKET_ROAD_MARK,ENTRY_USERID,PROTECTED_A,VARCHAR2,30,N,,,Set to D or Scramble,"THE@masking.nrs.bcgov> update blanket_road_mark set entry_userid = 'D', update_userid = 'D';",
DBP01,THE,BLANKET_ROAD_MARK,ENTRY_TIMESTAMP,PUBLIC,DATE,7,N,,,,2341 rows updated.,
DBP01,THE,BLANKET_ROAD_MARK,UPDATE_USERID,PROTECTED_A,VARCHAR2,30,N,,,Set to D or Scramble,,
