"APPLICATION_NAME","FULL_NAME","TEXT","DATA_MODEL_URL","MINISTRY_NAME","DIVISION_NAME","BRANCH_NAME","SECTION_NAME","APPLICATION_CLASS_CODE"
A4CA,Applications For Climate Action - RETIRED,"The Applications for Climate Action is a web contest site that allows for registration, submission and voting on mobile applications from registered users that help illuminate climate change in BC.


Historically belonging to: Ministry of Environment and Climate Change Strategy, Climate Action Secretariat, Climate Partnerships and Engagement Branch, N/A.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
AACDET,Allowable Annual Cut Database System - RETIRED,"This application stores statistics on allowable annual cut (AAC) determination events, and provides a means for users to query these statistics and determine changes to statistics for the province`s management units (TSAs, TFLs, WLs, CFPs, PSYUs).  

https://apps13.for.gov.bc.ca/aacdet/
Server - PRESENT, CIDER, COLD, HOLIDAY, JOLLY

Historically belonging to: Ministry of Environment and Climate Change Strategy, Information Innovation and Technology Division, N/A, N/A",http://www.for.gov.bc.ca/pscripts/isb/idd/apps_log.asp#MAX,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
ABOUND,Admin Boundaries for LRDW,[LOB Data]Admin Boundaries for LRDW,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,DS
ABR,As Built Roads (MoFR) - RETIRED," As-Built Roads (ABR) system, which facilitates electronic submission of As-Built Roads for Ministry of Forests Licensees into the Forest Road Management Application (FRMA) and MSRM`s Land Resource Data Warehouse (LRDW).

An As-BuiltRoad is a permanent access structure (road) that has been constructed and authorized by road permit, cutting permit or some other agreement under the Forest Act or Forest and Range Practices Act, and includes any of a tote road, pit, quarry, landing or waste area that is located within the road`s clearing width, that is used in conjunction with the road.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,N/A,N/A,STD
ACAT,Ecological Report Catalogue,"EcoCat allows users to access digital reports and publications. The actual reports and their project files such as maps, datasets and published inventory information are available for included reports when ever possible. If only the report is present, there are no other associated digital files. Broad categories include various types of aquatic, terrestrial and vegetation reports.
System Importance:
essential storage of and access to ecological project reports and data",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=8255525be57f4c408a589600bef0a77a,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Integrated Data and Analysis Services,Ecosystem Information,STD
ACCUMAP,Accumap,"COTS PRODUCT: an oil and gas mapping, data management and analysis software for companies operating in the Western Canadian Sedimentary Basin and Frontier areas. Designed for oil and gas professionals, AccuMap enables you to access multiple databases from your desktop to create an optimal process for working through any play, from discovery to production.    BUSINESS DESCRIPTION: uses a GIS map interface to analyze well & land info to make decisions regarding Crown land titles  http://www.ihs.com/products/oil-gas-information/analysis-software/accumap/index.aspx    
Also part of the installation is AccuLogs: http://www.ihs.com/products/oil-gas-information/analysis-software/acculogs.aspx",,"Ministry of Energy, Mines and Low Carbon Innovation",Energy Resources Division,Tenure and Resource Stewardship Branch,N/A,COTS
ACE,Air Contaminant Emissions,"Air Contamination values as identified by the Environmental Quality resources.

Historically belonging to: Ministry of Environment and Climate Change Strategy, Environmental Protection, Environmental Standards, Clean Air",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,DS
ACRFD,"Applications, Comments, and Reasons for Decisions","Applications, Comments, and Reasons for Decisions
as required by the Land Act it is PUBLIC FACING for their review of land applications and to provide comments.

The site provides documentation associated with applications which is manually uploaded by staff at Lands and FCBC.

ACRFD is described in more detail at:
https://apps.nrs.gov.bc.ca/int/confluence/x/vQhdAg",,"Ministry of Water, Land and Resource Stewardship",N/A,N/A,N/A,PAAS
ACS,Access Control System,"Part of the NRMCFS suite of applications. ACS is the security component.  Desktop application connected with JDBC to Oracle database.
Note: There is no Jira project specific to ACS - work is captured under the CFSWEB space.

First point of contact: Financial Services Help Desk
Second point of contact: Business Service Desk",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=3b0f48699d15409d97817059577eff05,"Ministry of Water, Land and Resource Stewardship",Corporate Services for the Natural Resource Ministries,Financial Services Branch,"Financial Accounting, Operations & Systems (FinOps)",STD
ACTS,AGRI-BC Client Tracking System - RETIRED,"Aug 2020: Application Deliveries verified that holding an acronym for when/if a future solution is selected and implemented is not supported due to impacts to overhead costs and IIT Resource effort. 
________________________________


ACTS been created to hold this acronym for when a definite solution is identified.

To identify business requirements for the Ministry of Agriculture allowing them to track client contact (phone calls, in person counter calls, etc.).  The Sector Development Branch is required to collect information in order to build an understanding of the topics and trends coming forward from the public and industry. Existing software (e.g. Excel, Access) has been examined and limitations have been encountered that make the use of that type of software undependable.   

Historically belonging to: Ministry of Agriculture, Food and Fisheries, Agriculture Science and Policy Division, N/A, N/A",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,COTS
ADAM,Authority Delegation & Management,"Authority Delegation & Management - Front End into WebADE system.
ADAM does not have its own tables; it is a WebADE administrative application and uses the same tables as WebADE. Therefore, it does not necessarily require its own schema, it could be installed in the same schema as WebADE 4.
Deployed separately for GeoBC, ISSS, ENV, FOR",https://a100.gov.bc.ca/int/robread/odwa_fol.go?p_session_id=2004&p_ivid=354702047436471562316191495278532101,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services","Privacy, Information Management & Security",STD
ADAM (FOR),Authority Delegation & Management,"The ADAM application is a tool for distribution of authorization management tasks, allowing clients to administer access to their application(s). 




",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=1d4bf9346f36451392df53d0114cfe32,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services","Privacy, Information Management & Security",STD
ADAM (GeoBC),Authority Delegation & Management,"Authority Delegation & Management - Front End into WebADE system. ADAM does not have its own tables; it is a WebADE administrative application and uses the same tables as WebADE. Therefore, it does not necessarily require its own schema, it could be installed in the same schema as WebADE 4. Deployed separately for GeoBC and for IMB.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=675037bae47f4a0d9fb1929f0769e680,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services","Privacy, Information Management & Security",STD
ADAM (WILDFIRE),Authority Delegation & Management  (WILDFIRE),"The ADAM application is a tool for distribution of authorization management tasks, allowing clients to administer access to their application(s). 

2023-12-01 NOTE: This application is partially configured on the third node, POINT, but the keystore directory is not present nor is the port configuration correct on the reverse proxies.  Therefore, this application is set to not start up automatically on POINT.  If it is desirable to have it running on POINT (or its future Server Refresh replacement) then the configuration will need to be updated prior to turning it on.",,Ministry of Forests,BC Wildfire Service,N/A,N/A,STD
ADAM(ISSS),Authority Delegation & Management,"Authority Delegation & Management - Front End into WebADE(ISSS)system. ADAM does not have its own tables; it is a WebADE administrative application.

Note: DLVR is connected to TEST BCeID - not DEV",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services","Privacy, Information Management & Security",ISSSSVC
ADAMS,Air Data Management System - RETIRED,"Will be replaced by DR DAS.   ADaMS collects and analyzes air quality and meteorological data that is collected by data loggers that are attached to data sensors throughout the province.

ADAMS validates, archives and disseminates air monitoring information to Ministry staff and the general public primarily via the WEB.  

Historically belonging to: Ministry of Environment and Climate Change Strategy, Environmental Protection, Environmental Monitoring and Analysis, Environmental & Climate Monitoring",https://a100.gov.bc.ca/int/robread/odwa_fol.go?p_session_id=58937&p_ivid=358000933780160697794009271560279557,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
ADAMS-WEB,Air Data Management System - Web Reporting - RETIRED,"An application that allows for reporting of information from ADaMS on the web.

Historically belonging to: Ministry of Environment and Climate Change Strategy,	Environmental Protection, Environmental Monitoring and Analysis, Environmental & Climate Monitoring
",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
ADM_WHSE_ILMB,Agriculture and Lands Administrative Boundaries,"ADM_WHSE is a general container for administrative boundaries in the BCGW, that get loaded to the schema WHSE_ADMIN_BOUNDARIES. This schema may contain boundaries from all ministries or required organizations. However, indeed the WHSE_ADMIN_BOUNDARIES.ADM_ILMB_REGION_BOUNDARIES_SP was retired and replaced with the NRM Regional boundaries.

this is a dataset and not an application. contacted Nancy Liesch, and was advised that this dataset is to be retired. Retirement date TBD.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,DS
ADR,Arch Data Request,"Web application which is used by anyone inside or outside of government who wants archaeological information. Users can attach files related to their search if applicable.
The contents of the form are sent to a government mail box at ArchDataRequest@gov.bc.ca
",,Ministry of Forests,Forest Resiliency and Archaeology Division,Archaeology Branch,N/A,STD
AECIS2,Aboriginal Engagement Corporate Information Site,"The AECIS SharePoint application has been replaced by PIP (aka FNP). URL-redirects are in place to be removed when this app is finally retired.____________________________________
AECIS is a tool for government staff involved with First Nations(FN)issues related to land & natural resources. It is a SharePoint site designed specifically for posting & sharing documents, and information about documents, from (the agencies listed to the left?).
There are presently approximately 10,000 documents posted on the site & it will continue to grow as it is maintained by contacts from across government.
AECIS supports all agencies ability to coordinate & communicate with each other on agreements in place across the province. It is also a research tool to assist agencies to search for engagement with a particular First Nations and/or project and/or region of the province.",,"Ministry of Water, Land and Resource Stewardship","Reconciliation, Lands and Natural Resource Policy Division",NRS Reconciliation Policy and Strategies,N/A,STD
AEI,Air Emissions Inventory System,"Air Emissions Inventory (AEI) is a data source for the AEI prototype mapping application. It contains air contaminant emissions data for point sources, wildfires and prescribed burns for the province of British Columbia outside of the Lower Fraser Valley. It is based on the report `2000 British Columbia Emissions Inventory of Criteria Air Contaminants: Methods and Calculations` available online from the MWLAP web site.

Data gathering in progress. GIS component expected to remain, data retrieval component to be reviewed.
This really is just datasets with spatial layers on top.  Metastar entries were created to support these.

Roles Required - Oracle Roles
SRM_WHSE_ENVIRON_MON_ADMIN
SRM_WHSE_ENVIRON_BASE_PUB
SRM_WHSE_ENVIRON_USER_GOV
Roles granted by Michael Rensing send email to Michael.Rensing@gov.bc.ca

Historically belonging to: Ministry of Environment and Climate Change Strategy, Environmental Protection, Environmental Standards, Clean Air

",https://slkux14.env.gov.bc.ca/pls/ilmbrobread/odwa_fol.go?p_session_id=6950&p_ivid=304537391674670405080949444918069038,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,DS
AFF,Automated Flight Following (AFF),"AFF is used to track the current position of mobile resources (originally just aircraft, now includes other types of vehicles) in real-time for safety positions, and displayed in Dispatch.

Has four components:

* Carriers have a small front end webpage that generates an email to admin.

* Admin has an ASP website to do the data maintenance.

* AFF Fusion Service reads data from the position feeds and puts it in the SQL database.  This service runs under Tomcat, within the Spring Framework.

* WebReports display the data to aviation users

Application Status re-verified by BPM: Nov 2019

AFF is being retired - new tool is part of the WFRM project called AWS Resource Tracking.

Note from Matthew Barnes - 2021/11/17: Last year, the AFF product was replaced with WFRM AWS Resource Tracking service.

2023-11-28 Beverley Moysey - removed association to server DRAKE (`AFF image files`) as that old version of AFF is no longer in use.",,Ministry of Forests,BC Wildfire Service,N/A,N/A,STD
